fund_name,cik,accession,form,filingDate,periodOfReport,primaryDocument
Tudor Investment Corp,923093,0000902664-26-002516,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Tudor Investment Corp,923093,0000902664-26-003485,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
D. E. Shaw & Co. Inc.,1009207,0001104659-26-062472,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
D. E. Shaw & Co. Inc.,1009207,0001104659-26-097217,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Renaissance Technologies LLC,1037389,0001037389-26-000033,13F-HR,2026-05-14,2026-03-31,xslForm13F_X02/primary_doc.xml
Renaissance Technologies LLC,1037389,0001037389-26-000059,13F-HR,2026-08-13,2026-06-30,xslForm13F_X02/primary_doc.xml
Third Point LLC,1040273,0001040273-26-000002,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Third Point LLC,1040273,0001040273-26-000003,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Lone Pine Capital LLC,1061165,0000919574-26-003439,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Lone Pine Capital LLC,1061165,0000919574-26-005485,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
The Baupost Group LLC,1061768,0001061768-26-000007,13F-HR,2026-05-14,2026-03-31,xslForm13F_X02/primary_doc.xml
The Baupost Group LLC,1061768,0001061768-26-000010,13F-HR,2026-08-13,2026-06-30,xslForm13F_X02/primary_doc.xml
Viking Global Investors LP,1103804,0001103804-26-000004,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Viking Global Investors LP,1103804,0001103804-26-000006,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Tiger Global Management LLC,1167483,0000919574-26-003362,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Tiger Global Management LLC,1167483,0000919574-26-005427,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
AQR Capital Management LLC,1167557,0001167557-26-000115,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
AQR Capital Management LLC,1167557,0001167557-26-000226,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Balyasny Asset Management L.P.,1218710,0001193125-26-226359,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Balyasny Asset Management L.P.,1218710,0001193125-26-351940,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Millennium Management LLC,1273087,0001273087-26-000004,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Millennium Management LLC,1273087,0001273087-26-000007,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Pershing Square Capital Management L.P.,1336528,0001172661-26-002336,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Pershing Square Capital Management L.P.,1336528,0001172661-26-003777,13F-NT,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Bridgewater Associates LP,1350694,0001350694-26-000002,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Bridgewater Associates LP,1350694,0001350694-26-000003,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Citadel Advisors LLC,1423053,0001104659-26-062477,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Citadel Advisors LLC,1423053,0001104659-26-097200,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
DME Capital Management LP (Greenlight),1489933,0001172661-26-002341,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
DME Capital Management LP (Greenlight),1489933,0001172661-26-003786,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Starboard Value LP,1517137,0000921895-26-001402,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Starboard Value LP,1517137,0000921895-26-002172,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Point72 Asset Management L.P.,1603466,0000919574-26-003476,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Point72 Asset Management L.P.,1603466,0000919574-26-005520,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Man Group plc,1637460,0001637460-26-000002,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Man Group plc,1637460,0001637460-26-000003,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Elliott Investment Management L.P.,1791786,0001013594-26-000613,13F-HR,2026-05-15,2026-03-31,xslForm13F_X02/primary_doc.xml
Elliott Investment Management L.P.,1791786,0001013594-26-000915,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
Situational Awareness LP,2045724,0002045724-26-000008,13F-HR,2026-05-18,2026-03-31,xslForm13F_X02/primary_doc.xml
Situational Awareness LP,2045724,0000935836-26-000418,13F-HR,2026-08-14,2026-06-30,xslForm13F_X02/primary_doc.xml
